position,club,name,price,change,status,owner,last_sale,recent_pts,this_season_pts,last_season_pts,scraped_at
Defender,Athletic,Areso,2010000,20000.0,,Free Agent,"2,010,000",2660.0,10,0,2026-09-14
Midfielder,Alaves,Guevara,160000,0.0,,Free Agent,"160,000",0.0,0,73,2026-09-14
Midfielder/Defender,Elche,Josan,170000,0.0,,Free Agent,"170,000",33.0,6,0,2026-09-14
Goalkeeper,Rayo Vallecano,Cardenas,1380000,-110000.0,,Free Agent,"1,380,000",223.0,7,0,2026-09-14
Midfielder,Celta,Antanon,310000,-30000.0,,Free Agent,"310,000",1.0,1,0,2026-09-14
Midfielder/Defender,Rayo Vallecano,Pathe Ciss,2820000,-20000.0,,Free Agent,"2,820,000",34125.0,15,0,2026-09-14
Forward,Athletic,Nico Serrano,150000,0.0,,Free Agent,"150,000",0.0,0,50,2026-09-14
Defender,Real Madrid,Asencio,380000,0.0,,Free Agent,"380,000",0.0,0,109,2026-09-14
Defender,Malaga,Aznou,330000,-10000.0,,Free Agent,"330,000",0.0,0,0,2026-09-14
Defender,Athletic,Rincon,540000,-10000.0,,Free Agent,"540,000",23.0,5,0,2026-09-14
Forward/Midfielder,Real Sociedad,Ochieng,1410000,110000.0,,Free Agent,"1,410,000",1152.0,18,0,2026-09-14
Midfielder,Deportivo,Villares,570000,-10000.0,,Free Agent,"570,000",33.0,6,0,2026-09-14
Forward/Midfielder,Racing,Guliashvili,180000,0.0,,Free Agent,"180,000",22.0,4,0,2026-09-14
Forward,Malaga,Chupe,4330000,-110000.0,,Free Agent,"4,330,000",10192.0,7,0,2026-09-14
Midfielder,Getafe,Mangala,2380000,-30000.0,,Free Agent,"2,380,000",32335.0,16,0,2026-09-14
Defender,Real Madrid,Dumfries,4920000,-10000.0,,Free Agent,"4,920,000",5535.0,18,0,2026-09-14
Forward/Midfielder,Valencia,Sato,2390000,-70000.0,,Free Agent,"2,390,000",12143.0,11,0,2026-09-14
Defender,Getafe,Valou,160000,0.0,,Free Agent,"160,000",1.0,1,0,2026-09-14
Goalkeeper,Atletico,Esquivel,150000,0.0,,Free Agent,"150,000",0.0,0,0,2026-09-14
Forward,Alaves,Izei,320000,-20000.0,,Free Agent,"320,000",0.0,0,0,2026-09-14
