position,club,name,price,owner,last_sale,demand,this_season_pts,last_season_pts,scraped_at
Midfielder,Celta,Fran Beltrán,2480000,"€20,000",,0.0,0.0,0,2025-07-23 23:57:49
Forward,Girona,Stuani,2010000,"€10,000",,0.0,0.0,0,2025-07-23 23:57:50
Midfielder,Alavés,Guridi,1270000,"€40,000",,0.0,0.0,0,2025-07-23 23:57:51
Midfielder/Defender,Getafe,Javi Muñoz,1440000,"€20,000",,0.0,0.0,0,2025-07-23 23:57:52
Midfielder/Forward,Athletic,Robert Navarro,1460000,"€30,000",,0.0,0.0,0,2025-07-23 23:57:54
Defender,Rayo Vallecano,Luiz Felipe,2670000,"€120,000",,0.0,0.0,0,2025-07-23 23:57:55
Midfielder,Valencia,André Almeida,1980000,"€50,000",,0.0,0.0,0,2025-07-23 23:57:56
Defender,Athletic,Paredes,1710000,"€100,000",,0.0,0.0,0,2025-07-23 23:57:57
Midfielder,Sevilla,Sow,750000,"€60,000",,0.0,0.0,0,2025-07-23 23:57:58
Goalkeeper,Real Oviedo,Moldovan,580000,"€60,000",,0.0,0.0,0,2025-07-23 23:57:59
Defender,Celta,Yoel Lago,220000,€0,,0.0,0.0,0,2025-07-23 23:58:00
Forward,Athletic,Sannadi,2350000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:01
Goalkeeper,Alavés,Adrián Rodríguez,150000,€0,,0.0,0.0,0,2025-07-23 23:58:02
Midfielder,Real Oviedo,Alberto Reina,1930000,"€140,000",,0.0,0.0,0,2025-07-23 23:58:03
Forward,Real Madrid,Mastantuono,5430000,"€130,000",,0.0,0.0,0,2025-07-23 23:58:04
Defender,Real Oviedo,Nacho Vidal,1920000,"€100,000",,0.0,0.0,0,2025-07-23 23:58:05
Defender,Getafe,Diego Rico,2440000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:06
Defender,Athletic,Yeray,1220000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:07
Midfielder,Villarreal,Comesaña,4290000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:08
Goalkeeper,Mallorca,Leo Román,2450000,"€240,000",,0.0,0.0,0,2025-07-23 23:58:09
Forward/Midfielder,Rayo Vallecano,De Frutos,3120000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:11
Defender,Barcelona,Ronald Araújo,2310000,€0,,0.0,0.0,0,2025-07-23 23:58:12
Defender/Midfielder,Real Sociedad,Urko Gonzalez,940000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:13
Forward,Rayo Vallecano,Nteka,150000,€0,,0.0,0.0,0,2025-07-23 23:58:14
Midfielder/Forward,Espanyol,Terrats,3540000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:15
Forward/Midfielder,Valencia,Fran Pérez,160000,€0,,0.0,0.0,0,2025-07-23 23:58:16
Goalkeeper,Espanyol,Fortuño,150000,€0,,0.0,0.0,0,2025-07-23 23:58:17
Midfielder,Real Sociedad,Zakharyan,230000,€0,,0.0,0.0,0,2025-07-23 23:58:18
Forward,Sevilla,Ejuke,890000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:19
Midfielder,Atlético,Gallagher,1680000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:20
Midfielder,Real Oviedo,Colombatto,3250000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:21
Defender,Elche,Affengruber,2310000,"€90,000",,0.0,0.0,0,2025-07-23 23:58:22
Defender,Athletic,Hugo Rincón,390000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:23
Forward/Midfielder,Athletic,Berenguer,4640000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:24
Midfielder,Villarreal,Parejo,4090000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:25
Defender,Athletic,Yuri,2010000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:26
Midfielder,Rayo Vallecano,Unai López,830000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:28
Midfielder/Defender,Betis,Roro Riquelme,3870000,"€60,000",,0.0,0.0,0,2025-07-23 23:58:29
Defender/Midfielder,Getafe,Djené,1470000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:30
Defender,Mallorca,Mojica,2490000,"€80,000",,0.0,0.0,0,2025-07-23 23:58:31
Forward/Midfielder,Valencia,Diego López,3940000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:32
Defender,Rayo Vallecano,Mumin,770000,"€10,000",,0.0,0.0,0,2025-07-23 23:58:33
Midfielder,Villarreal,Pape Gueye,4260000,"€60,000",,0.0,0.0,0,2025-07-23 23:58:34
Midfielder,Athletic,Unai Gómez,380000,"€10,000",,0.0,0.0,0,2025-07-23 23:58:35
Goalkeeper,Rayo Vallecano,Batalla,3600000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:36
Forward,Girona,Abel Ruiz,470000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:37
Forward,Espanyol,Roberto Fernández,3620000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:38
Goalkeeper,Levante,Pablo Campos,1000000,"€170,000",,0.0,0.0,0,2025-07-23 23:58:39
Midfielder,Atlético,Koke,790000,€0,,0.0,0.0,0,2025-07-23 23:58:40
Midfielder/Forward,Osasuna,Rubén García,3510000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:41
Goalkeeper,Atlético,Oblak,4800000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:42
Forward,Celta,Jutglà,5060000,"€10,000",,0.0,0.0,0,2025-07-23 23:58:43
Midfielder,Mallorca,Morlanes,820000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:45
Goalkeeper,Real Madrid,Courtois,6600000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:46
Defender,Mallorca,Valjent,3030000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:47
Forward/Midfielder,Elche,Germán Valera,380000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:48
Midfielder,Athletic,Beñat Prados,1220000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:49
Midfielder,Celta,Ilaix Moriba,3270000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:50
Defender,Osasuna,Juan Cruz,210000,€0,,0.0,0.0,0,2025-07-23 23:58:51
Defender,Sevilla,Carmona,1620000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:52
Forward,Villarreal,Etta Eyong,430000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:53
Defender,Girona,Krejci,2890000,"€90,000",,0.0,0.0,0,2025-07-23 23:58:54
Forward,Alavés,Toni Martínez,430000,"€30,000",,0.0,0.0,0,2025-07-23 23:58:55
Defender,Alavés,Jonny Castro,1330000,"€40,000",,0.0,0.0,0,2025-07-23 23:58:56
Midfielder,Rayo Vallecano,Trejo,160000,€0,,0.0,0.0,0,2025-07-23 23:58:57
Midfielder,Valencia,Pepelu,3410000,"€50,000",,0.0,0.0,0,2025-07-23 23:58:58
Defender,Betis,Firpo,3970000,"€20,000",,0.0,0.0,0,2025-07-23 23:58:59
Forward/Midfielder,Espanyol,Puado,5150000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:00
Forward/Midfielder,Atlético,Carlos Martín,270000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:02
Goalkeeper,Betis,Vieites,180000,€0,,0.0,0.0,0,2025-07-23 23:59:03
Defender,Rayo Vallecano,Chavarría,2190000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:04
Forward,Levante,Carlos Álvarez,3350000,"€10,000",,0.0,0.0,0,2025-07-23 23:59:05
Midfielder/Forward,Villarreal,Moleiro,6550000,"€80,000",,0.0,0.0,0,2025-07-23 23:59:06
Goalkeeper,Levante,Pastor,150000,€0,,0.0,0.0,0,2025-07-23 23:59:07
Defender,Villarreal,Adrià Altimira,220000,€0,,0.0,0.0,0,2025-07-23 23:59:08
Midfielder,Getafe,Neyou,1240000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:09
Midfielder,Real Sociedad,Luka Sucic,2700000,"€170,000",,0.0,0.0,0,2025-07-23 23:59:10
Midfielder,Rayo Vallecano,Pedro Díaz,3300000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:11
Defender,Espanyol,Pablo Ramón,150000,€0,,0.0,0.0,0,2025-07-23 23:59:12
Midfielder/Defender,Real Madrid,Camavinga,3630000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:13
Forward,Real Sociedad,Oyarzabal,6620000,"€50,000",,0.0,0.0,0,2025-07-23 23:59:14
Forward,Valencia,Hugo Duro,3810000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:16
Goalkeeper,Real Madrid,Fran González,150000,€0,,0.0,0.0,0,2025-07-23 23:59:17
Defender/Midfielder,Celta,Carreira,1300000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:18
Midfielder,Atlético,Lemar,150000,€0,,0.0,0.0,0,2025-07-23 23:59:19
Defender,Athletic,Vivian,5810000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:20
Goalkeeper,Real Madrid,Lunin,440000,"€10,000",,0.0,0.0,0,2025-07-23 23:59:21
Midfielder/Defender,Betis,Ruibal,910000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:22
Coach,Atlético,Simeone,3120000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:23
Forward/Midfielder,Getafe,Peter Federico,160000,€0,,0.0,0.0,0,2025-07-23 23:59:24
Defender,Rayo Vallecano,Ratiu,4140000,"€40,000",,0.0,0.0,0,2025-07-23 23:59:25
Midfielder,Real Madrid,Bellingham,10410000,"€200,000",,0.0,0.0,0,2025-07-23 23:59:26
Defender,Mallorca,Van Der Heyden,150000,€0,,0.0,0.0,0,2025-07-23 23:59:27
Forward,Espanyol,Gastón Valles,150000,€0,,0.0,0.0,0,2025-07-23 23:59:28
Defender,Osasuna,Rosier,2460000,"€120,000",,0.0,0.0,0,2025-07-23 23:59:29
Defender,Alavés,Hugo Novoa,150000,€0,,0.0,0.0,0,2025-07-23 23:59:30
Defender,Real Madrid,Raúl Asencio,2770000,"€70,000",,0.0,0.0,0,2025-07-23 23:59:32
Forward,Real Oviedo,Viñas,370000,"€10,000",,0.0,0.0,0,2025-07-23 23:59:33
Coach,Levante,Julián Calero,260000,"€10,000",,0.0,0.0,0,2025-07-23 23:59:34
Goalkeeper,Real Oviedo,Escandell,2550000,"€140,000",,0.0,0.0,0,2025-07-23 23:59:35
Defender/Midfielder,Girona,Miguel Gutiérrez,2950000,"€20,000",,0.0,0.0,0,2025-07-23 23:59:36
Defender,Celta,Manu Sánchez,650000,€0,,0.0,0.0,0,2025-07-23 23:59:37
Goalkeeper,Mallorca,Cuéllar,150000,€0,,0.0,0.0,0,2025-07-23 23:59:38
Forward,Real Oviedo,Paulino,170000,"€10,000",,0.0,0.0,0,2025-07-23 23:59:39
