position,name,points,team_value,value_change,num_players,is_me,scraped_at
1,Locombia FC,260,75910000.0,280000.0,19,False,2026-09-14
2,CD Numancia,250,89220000.0,600000.0,24,False,2026-09-14
3,"General ""Hansi” Topete",242,75610000.0,-40000.0,17,False,2026-09-14
4,Hernan Krezzpo,219,70250000.0,60000.0,15,True,2026-09-14
5,The National,207,82480000.0,340000.0,23,False,2026-09-14
6,RaiFC,202,71120000.0,-80000.0,17,False,2026-09-14
7,Minabo de Kiev,199,72280000.0,-500000.0,19,False,2026-09-14
8,Manchester Tity,192,60630000.0,420000.0,14,False,2026-09-14
9,FreeJulian,188,70520000.0,-90000.0,21,False,2026-09-14
10,Patsi F.C,171,67410000.0,30000.0,20,False,2026-09-14
