txn_key,txn_date,player_id,player_name,player_position,player_price,price_change,winner_id,winner_name,winning_amount,num_bidders,bidder_id,bidder_name,bid_amount,is_winner,bid_rank,scraped_at
32120:14001537:655420,1789362113,32120,Johnny,MID,640000,0,14001537,The National,655420,1,14001537,The National,655420,1,0,2026-09-14
5697:1715607:5700460,1789362113,5697,Mariano,FWD,5400000,110000,1715607,"General ""Hansi” Topete",5700460,6,1715607,"General ""Hansi” Topete",5700460,1,0,2026-09-14
5697:1715607:5700460,1789362113,5697,Mariano,FWD,5400000,110000,1715607,"General ""Hansi” Topete",5700460,6,9892417,CD Numancia,5600060,0,1,2026-09-14
5697:1715607:5700460,1789362113,5697,Mariano,FWD,5400000,110000,1715607,"General ""Hansi” Topete",5700460,6,11457758,RaiFC,5530670,0,2,2026-09-14
5697:1715607:5700460,1789362113,5697,Mariano,FWD,5400000,110000,1715607,"General ""Hansi” Topete",5700460,6,11458371,Minabo de Kiev,5499008,0,3,2026-09-14
5697:1715607:5700460,1789362113,5697,Mariano,FWD,5400000,110000,1715607,"General ""Hansi” Topete",5700460,6,1792970,Manchester Tity,5488000,0,4,2026-09-14
5697:1715607:5700460,1789362113,5697,Mariano,FWD,5400000,110000,1715607,"General ""Hansi” Topete",5700460,6,14001537,The National,5405210,0,5,2026-09-14
41940:11457758:430010,1789362113,41940,Tsitaishvili,FWD,470000,40000,11457758,RaiFC,430010,1,11457758,RaiFC,430010,1,0,2026-09-14
34599:9892417:450009,1789362113,34599,David Otorbi,FWD,350000,50000,9892417,CD Numancia,450009,2,9892417,CD Numancia,450009,1,0,2026-09-14
34599:9892417:450009,1789362113,34599,David Otorbi,FWD,350000,50000,9892417,CD Numancia,450009,2,1792970,Manchester Tity,350000,0,1,2026-09-14
