team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
FerranGoaT,Goalkeeper,Villarreal,Luiz Junior,6,0,4310000,20000,Fit,1,6.0,6,6.0,0,0.0
FerranGoaT,Defender,Villarreal,Santiago Mourino,6,0,3920000,40000,Fit,1,6.0,6,6.0,0,0.0
FerranGoaT,Defender,Valencia,Tarrega,6,0,3740000,10000,Fit,1,6.0,6,6.0,0,0.0
FerranGoaT,Defender,Atletico,Hancko,5,0,4030000,20000,Fit,1,5.0,0,0.0,5,5.0
FerranGoaT,Defender,Villarreal,Foyth,4,0,4850000,70000,Fit,1,4.0,4,4.0,0,0.0
FerranGoaT,Midfielder/Forward,Real Sociedad,Kubo,12,0,10340000,90000,Fit,1,12.0,0,0.0,12,12.0
FerranGoaT,Midfielder,Espanyol,Exposito,12,0,3980000,70000,Fit,1,12.0,12,12.0,0,0.0
FerranGoaT,Midfielder/Defender,Real Madrid,Tchouameni,5,0,6500000,10000,Fit,1,5.0,5,5.0,0,0.0
FerranGoaT,Midfielder,Real Sociedad,Turrientes,4,0,1470000,70000,Fit,1,4.0,0,0.0,4,4.0
FerranGoaT,Midfielder,Betis,Marc Roca,0,74,370000,10000,Injured. Ankle injury. Estimated return: Early September.,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward,Valencia,Raba,7,0,7360000,40000,Fit,1,7.0,7,7.0,0,0.0
FerranGoaT,Forward,Valencia,Danjuma,3,0,3400000,0,Fit,1,3.0,3,3.0,0,0.0
FerranGoaT,Forward,Osasuna,Budimir,2,0,10520000,90000,Fit,1,2.0,0,0.0,2,2.0
FerranGoaT,Forward/Midfielder,Real Sociedad,Guedes,1,0,4660000,80000,Fit,1,1.0,0,0.0,1,1.0
FerranGoaT,Forward/Midfielder,Mallorca,Asano,1,0,1400000,10000,Fit,1,1.0,1,1.0,0,0.0
FerranGoaT,Forward,Real Madrid,Endrick,0,55,550000,10000,Injured. Hamstring joint injury of the right leg. Estimated return: early September.,0,0.0,0,0.0,0,0.0
FerranGoaT,Coach,Valencia,Corberan,1,0,1160000,10000,Fit,1,1.0,1,1.0,0,0.0
FerranGoaT,Coach,Osasuna,Alessio Lisci,0,0,810000,0,Fit,1,0.0,0,0.0,0,0.0
