team,team_id,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
"General ""Hansi” Topete",General_Hansi_Topete,Goalkeeper,Sevilla,Odysseas,8,0,3720000,-30000.0,Fit,3,2.7,2,1.0,6,6.0
"General ""Hansi” Topete",General_Hansi_Topete,Goalkeeper,Rayo Vallecano,Dani Cardenas,5,0,1640000,-30000.0,Fit,2,2.5,3,3.0,2,2.0
"General ""Hansi” Topete",General_Hansi_Topete,Defender,Athletic,Paredes,18,0,2330000,110000.0,Fit,2,9.0,12,12.0,6,6.0
"General ""Hansi” Topete",General_Hansi_Topete,Defender,Espanyol,Hinojo,13,0,2210000,50000.0,Fit,3,4.3,8,4.0,5,5.0
"General ""Hansi” Topete",General_Hansi_Topete,Defender,Alaves,Yusi Enriquez,12,0,1160000,20000.0,Fit,3,4.0,8,4.0,4,4.0
"General ""Hansi” Topete",General_Hansi_Topete,Defender,Celta,Galan,10,0,2380000,-50000.0,Fit,3,3.3,2,2.0,8,4.0
"General ""Hansi” Topete",General_Hansi_Topete,Defender,Levante,Nacho Perez,8,0,920000,10000.0,Fit,3,2.7,1,1.0,7,3.5
"General ""Hansi” Topete",General_Hansi_Topete,Defender,Espanyol,Gorosabel,0,69,410000,30000.0,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Midfielder/Forward,Betis,Roro Riquelme,26,0,4190000,80000.0,Fit,4,6.5,15,7.5,11,5.5
"General ""Hansi” Topete",General_Hansi_Topete,Midfielder,Espanyol,Alex Calatrava,16,0,4590000,-30000.0,Fit,3,5.3,14,7.0,2,2.0
"General ""Hansi” Topete",General_Hansi_Topete,Midfielder,Alaves,Antonio Blanco,11,0,3500000,10000.0,Fit,3,3.7,8,4.0,3,3.0
"General ""Hansi” Topete",General_Hansi_Topete,Midfielder,Deportivo,Riki Rodriguez,4,0,280000,10000.0,Fit,1,4.0,4,4.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Midfielder,Malaga,Cajuste,0,0,1110000,-10000.0,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Midfielder/Defender/Forward,Betis,Ruibal,0,120,310000,0.0,Injured. Surgery on the external meniscus of his right knee. Estimated return: Indefinite return.,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Forward,Real Madrid,Mbappe,39,0,24860000,40000.0,Fit,4,9.8,34,17.0,5,2.5
"General ""Hansi” Topete",General_Hansi_Topete,Forward/Defender/Midfielder,Alaves,Angel Perez,16,0,3660000,30000.0,Fit,3,5.3,11,5.5,5,5.0
"General ""Hansi” Topete",General_Hansi_Topete,Forward/Midfielder,Levante,Thiago Fernandez,7,0,1410000,10000.0,Fit,2,3.5,4,4.0,3,3.0
"General ""Hansi” Topete",General_Hansi_Topete,Forward,Malaga,Abaida,7,0,240000,0.0,Fit,2,3.5,5,5.0,2,2.0
"General ""Hansi” Topete",General_Hansi_Topete,Forward,Atletico,Julian Alvarez,0,114,7750000,0.0,Fit,1,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Forward,Deportivo,Adama Traore,0,0,3680000,50000.0,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Forward,Real Madrid,Endrick,0,-1,1370000,-20000.0,Doubtful. Muscle injury involving the tendon.,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",General_Hansi_Topete,Coach,Barcelona,Hansi Flick,9,0,4970000,0.0,Fit,3,3.0,6,3.0,3,3.0
