team,team_id,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Minabo de Kiev,Minabo_De_Kiev,Goalkeeper,Celta,Ivan Villar,0,0,150000,0.0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Minabo_De_Kiev,Defender,Alaves,Tenaglia,21,0,3840000,50000.0,Fit,2,10.5,16,16.0,5,5.0
Minabo de Kiev,Minabo_De_Kiev,Defender,Atletico,Pubill,13,0,5880000,50000.0,Fit,1,13.0,13,13.0,0,0.0
Minabo de Kiev,Minabo_De_Kiev,Defender,Alaves,Jonny Castro,7,0,1870000,40000.0,Fit,2,3.5,4,4.0,3,3.0
Minabo de Kiev,Minabo_De_Kiev,Defender,Barcelona,Kounde,3,0,4710000,0.0,Fit,1,3.0,0,0.0,3,3.0
Minabo de Kiev,Minabo_De_Kiev,Defender,Getafe,Abqar,2,0,1480000,-30000.0,Fit,2,1.0,0,0.0,2,2.0
Minabo de Kiev,Minabo_De_Kiev,Midfielder/Forward,Barcelona,Fermin,19,0,11690000,100000.0,Fit,1,19.0,0,0.0,19,19.0
Minabo de Kiev,Minabo_De_Kiev,Midfielder,Atletico,Barrios,12,0,6720000,50000.0,Fit,2,6.0,12,6.0,0,0.0
Minabo de Kiev,Minabo_De_Kiev,Midfielder,Rayo Vallecano,Oscar Valentin,6,0,1740000,-10000.0,Fit,2,3.0,3,3.0,3,3.0
Minabo de Kiev,Minabo_De_Kiev,Midfielder,Barcelona,Marc Bernal,4,0,4240000,-10000.0,Fit,1,4.0,0,0.0,4,4.0
Minabo de Kiev,Minabo_De_Kiev,Midfielder/Forward,Elche,Ali Houary,3,0,420000,30000.0,Fit,2,1.5,0,0.0,3,3.0
Minabo de Kiev,Minabo_De_Kiev,Forward/Midfielder,Rayo Vallecano,De Frutos,6,0,5610000,-40000.0,Fit,2,3.0,4,4.0,2,2.0
Minabo de Kiev,Minabo_De_Kiev,Forward,Racing,Villalibre,3,0,2500000,-30000.0,Fit,2,1.5,1,1.0,2,2.0
Minabo de Kiev,Minabo_De_Kiev,Forward,Valencia,Hugo Duro,2,0,2740000,-60000.0,Fit,1,2.0,2,2.0,0,0.0
Minabo de Kiev,Minabo_De_Kiev,Forward,Getafe,Mayoral,0,58,1670000,-40000.0,Fit,1,0.0,0,0.0,0,0.0
