team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Minabo de Kiev,Goalkeeper,Girona,Krapyvtsov,5,0,840000,90000,Fit,1,5.0,5,5.0,0,0.0
Minabo de Kiev,Goalkeeper,Valencia,Dimitrievski,0,13,420000,0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Goalkeeper,Mallorca,Bergström,0,0,150000,0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Goalkeeper,Girona,Gazzaniga,-7,0,3330000,60000,Suspended. Direct red.,1,-7.0,-7,-7.0,0,0.0
Minabo de Kiev,Defender,Alaves,Tenaglia,18,0,3990000,40000,Fit,2,9.0,15,15.0,3,3.0
Minabo de Kiev,Defender,Real Madrid,Dean Huijsen,9,0,10340000,60000,Fit,1,9.0,9,9.0,0,0.0
Minabo de Kiev,Defender/Midfielder,Barcelona,Eric Garcia,6,0,3390000,50000,Fit,1,6.0,0,0.0,6,6.0
Minabo de Kiev,Defender,Real Sociedad,Aramburu,6,0,3240000,20000,Fit,1,6.0,0,0.0,6,6.0
Minabo de Kiev,Defender,Espanyol,Calero,5,0,830000,60000,Fit,1,5.0,5,5.0,0,0.0
Minabo de Kiev,Defender,Girona,Blind,2,0,2680000,40000,Fit,1,2.0,2,2.0,0,0.0
Minabo de Kiev,Midfielder,Alaves,Antonio Blanco,10,0,2710000,60000,Fit,2,5.0,7,7.0,3,3.0
Minabo de Kiev,Midfielder,Barcelona,Gavi,6,0,4780000,40000,Fit,1,6.0,0,0.0,6,6.0
Minabo de Kiev,Midfielder,Girona,Yangel Herrera,5,0,4400000,20000,Fit,1,5.0,5,5.0,0,0.0
Minabo de Kiev,Midfielder,Osasuna,Moncayola,4,0,2410000,10000,Fit,1,4.0,0,0.0,4,4.0
Minabo de Kiev,Midfielder,Mallorca,Antonio Sanchez,4,0,720000,80000,Fit,1,4.0,4,4.0,0,0.0
Minabo de Kiev,Midfielder,Real Oviedo,Sibo,3,0,1750000,30000,Fit,1,3.0,0,0.0,3,3.0
Minabo de Kiev,Midfielder/Forward,Osasuna,Ruben Garcia,1,0,3750000,50000,Fit,1,1.0,0,0.0,1,1.0
Minabo de Kiev,Midfielder/Forward,Getafe,Javi Munoz,0,136,1320000,30000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Barcelona,Fermin,-1,0,4050000,50000,Fit,1,-1.0,0,0.0,-1,-1.0
Minabo de Kiev,Forward,Celta,Iago Aspas,6,0,7490000,40000,Fit,1,6.0,6,6.0,0,0.0
Minabo de Kiev,Forward,Espanyol,Kike Garcia,4,0,3420000,40000,Fit,1,4.0,4,4.0,0,0.0
Minabo de Kiev,Forward,Levante,Brugue,1,0,1720000,30000,Fit,1,1.0,0,0.0,1,1.0
Minabo de Kiev,Forward/Midfielder,Valencia,Sergi Canos,0,43,150000,0,Fit,0,0.0,0,0.0,0,0.0
