team,team_id,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Patsi F.C,Patsi_FC,Goalkeeper,Rayo Vallecano,Audero,7,0,3370000,-50000.0,Fit,2,3.5,4,4.0,3,3.0
Patsi F.C,Patsi_FC,Defender,Alaves,Koski,24,0,2090000,50000.0,Fit,6,4.0,11,2.8,13,6.5
Patsi F.C,Patsi_FC,Defender,Sevilla,Castrin,23,0,1940000,60000.0,Fit,5,4.6,8,4.0,15,5.0
Patsi F.C,Patsi_FC,Defender,Sevilla,Kike Salas,19,0,2930000,50000.0,Fit,5,3.8,11,3.7,8,4.0
Patsi F.C,Patsi_FC,Defender,Villarreal,Carlos Romero,15,0,4840000,-60000.0,Fit,5,3.0,1,1.0,14,3.5
Patsi F.C,Patsi_FC,Defender,Malaga,Galilea,15,0,1300000,0.0,Fit,6,2.5,8,2.7,7,2.3
Patsi F.C,Patsi_FC,Defender,Deportivo,Ximo Navarro,14,0,1730000,0.0,Fit,5,2.8,6,3.0,8,2.7
Patsi F.C,Patsi_FC,Defender/Midfielder,Barcelona,Christensen,12,0,1350000,-10000.0,Fit,5,2.4,0,0.0,12,4.0
Patsi F.C,Patsi_FC,Midfielder,Deportivo,Amatucci,33,0,4260000,60000.0,Fit,6,5.5,18,6.0,15,5.0
Patsi F.C,Patsi_FC,Midfielder/Forward,Getafe,Terrats,32,0,4240000,10000.0,Doubtful. Muscle discomfort.,5,6.4,21,7.0,11,5.5
Patsi F.C,Patsi_FC,Midfielder,Espanyol,Exposito,29,0,5340000,0.0,Fit,6,4.8,17,5.7,12,4.0
Patsi F.C,Patsi_FC,Midfielder,Atletico,Koke,29,0,3170000,20000.0,Fit,6,4.8,18,6.0,11,3.7
Patsi F.C,Patsi_FC,Midfielder,Racing,Ivan Martin,18,0,3620000,0.0,Fit,4,4.5,9,4.5,9,4.5
Patsi F.C,Patsi_FC,Midfielder,Levante,Sotelo,12,0,1320000,-80000.0,Injured. Sprain in the right knee. Estimated return: Mid-October.,4,3.0,9,4.5,3,1.5
Patsi F.C,Patsi_FC,Forward/Midfielder,Betis,Ez Abde,22,0,7830000,140000.0,Fit,3,7.3,11,11.0,11,5.5
Patsi F.C,Patsi_FC,Forward,Real Sociedad,Oyarzabal,21,0,10290000,-150000.0,Fit,6,3.5,12,4.0,9,3.0
Patsi F.C,Patsi_FC,Forward/Defender/Midfielder,Elche,Tete Morente,21,0,1280000,60000.0,Fit,6,3.5,10,3.3,11,3.7
Patsi F.C,Patsi_FC,Forward,Betis,Parrott,19,0,5900000,-130000.0,Fit,4,4.8,15,7.5,4,2.0
Patsi F.C,Patsi_FC,Forward,Atletico,Sørloth,0,148,2950000,-20000.0,Doubtful. Muscle injury.,0,0.0,0,0.0,0,0.0
Patsi F.C,Patsi_FC,Forward,Rayo Vallecano,De Tomas,0,0,210000,0.0,Fit,0,0.0,0,0.0,0,0.0
