team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Real Club de Balompié Rafanells,Porter,Getafe,David Soria,7,0,5.240.000,20.000,En forma,1,"7,0",0,"0,0",7,"7,0"
Real Club de Balompié Rafanells,Porter,Real Sociedad,Remiro,6,0,5.250.000,10.000,En forma,1,"6,0",0,"0,0",6,"6,0"
Real Club de Balompié Rafanells,Defensa,Osasuna,Boyomo,7,0,3.620.000,40.000,En forma,1,"7,0",0,"0,0",7,"7,0"
Real Club de Balompié Rafanells,Defensa,Barcelona,Balde,6,0,6.610.000,30.000,En forma,1,"6,0",0,"0,0",6,"6,0"
Real Club de Balompié Rafanells,Defensa,Valencia,Gaya,5,0,3.870.000,10.000,En forma,1,"5,0",5,"5,0",0,"0,0"
Real Club de Balompié Rafanells,Defensa,Rayo Vallecano,Luiz Felipe,3,0,2.820.000,40.000,En forma,1,"3,0",0,"0,0",3,"3,0"
Real Club de Balompié Rafanells,Migcampista,Betis,Lo Celso,20,0,9.530.000,150.000,En forma,2,"10,0",13,"13,0",7,"7,0"
Real Club de Balompié Rafanells,Migcampista,Valencia,Javi Guerra,6,0,5.380.000,50.000,En forma,1,"6,0",6,"6,0",0,"0,0"
Real Club de Balompié Rafanells,Migcampista,Alaves,Guridi,5,0,1.890.000,20.000,En forma,2,"2,5",3,"3,0",2,"2,0"
Real Club de Balompié Rafanells,Migcampista/Davanter,Atletico,Giuliano Simeone,3,0,5.610.000,50.000,En forma,1,"3,0",0,"0,0",3,"3,0"
Real Club de Balompié Rafanells,Migcampista/Defensa,Atletico,Marcos Llorente,0,176,5.500.000,70.000,En forma,1,"0,0",0,"0,0",0,"0,0"
Real Club de Balompié Rafanells,Davanter,Athletic,Nico Williams,16,0,12.010.000,130.000,En forma,1,"16,0",16,"16,0",0,"0,0"
Real Club de Balompié Rafanells,Davanter/Migcampista,Rayo Vallecano,Alvaro Garcia,9,0,5.350.000,50.000,En forma,1,"9,0",0,"0,0",9,"9,0"
Real Club de Balompié Rafanells,Davanter,Real Oviedo,Vinas,3,0,940.000,10.000,En forma,1,"3,0",0,"0,0",3,"3,0"
Real Club de Balompié Rafanells,Davanter,Barcelona,Lewandowski,0,266,13.580.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Real Club de Balompié Rafanells,Davanter,Girona,Stuani,0,171,2.540.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
Real Club de Balompié Rafanells,Davanter,Mallorca,Muriqi,-6,0,5.540.000,70.000,Sancionat. Vermella directa.,1,"-6,0",-6,"-6,0",0,"0,0"
Real Club de Balompié Rafanells,Entrenador,Levante,Julian Calero,0,0,290.000,0,En forma,1,"0,0",0,"0,0",0,"0,0"
