team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Real club de balompie rafanells,Goalkeeper,Getafe,David Soria,10,0,5080000.0,0.0,Fit,3,3.3,0,0.0,10,3.3
Real club de balompie rafanells,Goalkeeper,Getafe,Letacek,0,0,150000.0,0.0,Fit,0,0.0,0,0.0,0,0.0
Real club de balompie rafanells,Defender,Osasuna,Boyomo,16,0,4210000.0,0.0,Fit,2,8.0,9,9.0,7,7.0
Real club de balompie rafanells,Defender,Real Oviedo,Calvo,13,0,1780000.0,0.0,Fit,3,4.3,11,5.5,2,2.0
Real club de balompie rafanells,Defender,Barcelona,Balde,11,0,6750000.0,0.0,Fit,2,5.5,0,0.0,11,5.5
Real club de balompie rafanells,Defender,Rayo Vallecano,Luiz Felipe,8,0,2680000.0,0.0,Fit,2,4.0,0,0.0,8,4.0
Real club de balompie rafanells,Defender,Alaves,Victor Parada,6,0,340000.0,0.0,Fit,3,2.0,5,2.5,1,1.0
Real club de balompie rafanells,Midfielder,Betis,Lo Celso,23,0,10750000.0,0.0,Fit,3,7.7,13,13.0,10,5.0
Real club de balompie rafanells,Midfielder,Valencia,Javi Guerra,11,0,5200000.0,0.0,Fit,3,3.7,9,4.5,2,2.0
Real club de balompie rafanells,Midfielder/Defender,Atletico,Marcos Llorente,7,0,5190000.0,0.0,Fit,3,2.3,5,5.0,2,1.0
Real club de balompie rafanells,Midfielder,Alaves,Guridi,7,0,1750000.0,0.0,Fit,3,2.3,5,2.5,2,2.0
Real club de balompie rafanells,Forward,Athletic,Nico Williams,23,0,13060000.0,0.0,Fit,2,11.5,23,11.5,0,0.0
Real club de balompie rafanells,Forward/Midfielder,Rayo Vallecano,Alvaro Garcia,14,0,5740000.0,0.0,Fit,2,7.0,0,0.0,14,7.0
Real club de balompie rafanells,Forward,Real Oviedo,Vinas,13,0,900000.0,0.0,Fit,3,4.3,10,5.0,3,3.0
Real club de balompie rafanells,Forward,Mallorca,Muriqi,4,0,5570000.0,0.0,Fit,2,2.0,-6,-6.0,10,10.0
Real club de balompie rafanells,Forward,Barcelona,Lewandowski,2,0,13120000.0,0.0,Fit,1,2.0,0,0.0,2,2.0
Real club de balompie rafanells,Forward,Girona,Stuani,2,0,2170000.0,0.0,Fit,1,2.0,2,2.0,0,0.0
Real club de balompie rafanells,Coach,Levante,Julian Calero,0,0,280000.0,0.0,Fit,3,0.0,0,0.0,0,0.0
