position,club,name,price,owner,last_sale,demand,this_season_pts,last_season_pts,scraped_at
Goalkeeper,Real Oviedo,Escandell,3350000,"General ""Hansi” Topete","3,350,000",0.0,0,0,2025-08-10 00:44:56
Defender,Levante,Manu Sánchez,1610000,"General ""Hansi” Topete","1,610,000",0.0,0,112,2025-08-10 00:44:56
Forward,Levante,Morales,2800000,"General ""Hansi” Topete","2,800,000",0.0,0,0,2025-08-10 00:44:57
Defender,Real Madrid,Fran García,2010000,"General ""Hansi” Topete","2,010,000",0.0,0,140,2025-08-10 00:44:57
Midfielder,Rayo Vallecano,Óscar Valentín,1100000,"General ""Hansi” Topete","1,100,000",0.0,0,118,2025-08-10 00:44:57
Defender,Real Sociedad,Jon Pacheco,170000,"General ""Hansi” Topete","170,000",0.0,0,37,2025-08-10 00:44:57
Midfielder,Espanyol,Pol Lozano,1470000,"General ""Hansi” Topete","1,470,000",0.0,0,106,2025-08-10 00:44:57
Defender,Real Madrid,Militão,4890000,"General ""Hansi” Topete","4,890,000",0.0,0,62,2025-08-10 00:44:57
Forward,Real Madrid,Rodrygo,2630000,"General ""Hansi” Topete","2,630,000",0.0,0,176,2025-08-10 00:44:57
Forward,Sevilla,Rafa Mir,190000,"General ""Hansi” Topete","190,000",0.0,0,62,2025-08-10 00:44:57
Midfielder/Forward,Real Sociedad,Sergio Gómez,4900000,"General ""Hansi” Topete","4,900,000",0.0,0,186,2025-08-10 00:44:57
Defender,Betis,Natan,2980000,"General ""Hansi” Topete","2,980,000",0.0,0,107,2025-08-10 00:44:57
Forward/Midfielder,Villarreal,Yéremy Pino,4370000,"General ""Hansi” Topete","4,370,000",0.0,0,164,2025-08-10 00:44:57
Midfielder/Defender,Sevilla,Juanlu,720000,"General ""Hansi” Topete","720,000",0.0,0,133,2025-08-10 00:44:57
Defender/Midfielder,Espanyol,Carlos Romero,3130000,"General ""Hansi” Topete","3,130,000",0.0,0,149,2025-08-10 00:44:58
Midfielder/Forward,Celta,Swedberg,1900000,"General ""Hansi” Topete","1,900,000",0.0,0,123,2025-08-10 00:44:58
Midfielder,Athletic,Jauregizar,4650000,"General ""Hansi” Topete","4,650,000",0.0,0,162,2025-08-10 00:44:58
Midfielder,Atlético,Johnny,6080000,"General ""Hansi” Topete","6,080,000",0.0,0,151,2025-08-10 00:44:58
Defender,Betis,Angel Ortiz,190000,"General ""Hansi” Topete","190,000",0.0,0,26,2025-08-10 00:44:58
Defender,Real Oviedo,Luengo,1180000,"General ""Hansi” Topete","1,180,000",0.0,0,0,2025-08-10 00:44:59
Forward,Real Oviedo,Forés,270000,"General ""Hansi” Topete","270,000",0.0,0,0,2025-08-10 00:45:00
Midfielder,Levante,Oriol Rey,1740000,"General ""Hansi” Topete","1,740,000",0.0,0,0,2025-08-10 00:45:01
Forward,Betis,Borja Iglesias,3060000,CD Numancia,"8,914,280",0.0,0,186,2025-08-10 00:45:01
Goalkeeper,Getafe,David Soria,4880000,El retorno de Balompié,"9,760,000",0.0,0,183,2025-08-10 00:45:01
Defender,Valencia,Gayà,3620000,El retorno de Balompié,"7,240,000",0.0,0,102,2025-08-10 00:45:01
Midfielder/Defender,Atlético,Marcos Llorente,5800000,El retorno de Balompié,"11,600,000",0.0,0,176,2025-08-10 00:45:01
