Team,Type,Movement,Amount,SignedAmount
Hernan Krezzpo,Sale,Alex Sancris,240900.0,240900.0
Hernan Krezzpo,Salary,Wages,40440.0,-40440.0
Hernan Krezzpo,Purchase,Carreira,2150000.0,-2150000.0
Hernan Krezzpo,Purchase,Ratiu,4940000.0,-4940000.0
Hernan Krezzpo,Purchase,Hugo Duro,4710000.0,-4710000.0
Hernan Krezzpo,Purchase,Rosier,3560000.0,-3560000.0
Hernan Krezzpo,Purchase,Camavinga,5130000.0,-5130000.0
Hernan Krezzpo,Sale,Samu Lino,1587600.0,1587600.0
Hernan Krezzpo,Sale,Iker Benito,174500.0,174500.0
Hernan Krezzpo,Salary,Wages,23910.0,-23910.0
Hernan Krezzpo,Salary,Wages,23520.0,-23520.0
Hernan Krezzpo,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
El retorno de Balompié,Sale,Adrián Rodríguez,153400.0,153400.0
El retorno de Balompié,Salary,Wages,26410.0,-26410.0
El retorno de Balompié,Purchase,Julián Calero,268000.0,-268000.0
El retorno de Balompié,Purchase,Viñas,372000.0,-372000.0
El retorno de Balompié,Sale,Javi Muñoz,1426300.0,1426300.0
El retorno de Balompié,Sale,Molina,423600.0,423600.0
El retorno de Balompié,Sale,Ramón Martínez,154700.0,154700.0
El retorno de Balompié,Salary,Wages,25060.0,-25060.0
El retorno de Balompié,Salary,Wages,24420.0,-24420.0
El retorno de Balompié,Purchase,Sow,712000.0,-712000.0
El retorno de Balompié,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
RaiFC,Salary,Wages,48050.0,-48050.0
RaiFC,Purchase,Oyarzabal,9067930.0,-9067930.0
RaiFC,Purchase,Simeone,3480500.0,-3480500.0
RaiFC,Admin adjustment,Credit/Penalty,2060000.0,2060000.0
RaiFC,Salary,Wages,38500.0,-38500.0
RaiFC,Purchase,Mojica,3197510.0,-3197510.0
RaiFC,Purchase,Parejo,5464640.0,-5464640.0
RaiFC,Sale,Adrián,565600.0,565600.0
RaiFC,Sale,Matías Moreno,575000.0,575000.0
RaiFC,Sale,Cömert,144100.0,144100.0
RaiFC,Sale,Ristic,156600.0,156600.0
RaiFC,Sale,Lemar,151900.0,151900.0
RaiFC,Salary,Wages,32960.0,-32960.0
RaiFC,Purchase,Batalla,5480000.0,-5480000.0
RaiFC,Purchase,Yuri,2743020.0,-2743020.0
RaiFC,Purchase,Diego López,4550000.0,-4550000.0
RaiFC,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
CD Numancia,Salary,Wages,37580.0,-37580.0
CD Numancia,Sale,Mosquera,1901100.0,1901100.0
CD Numancia,Sale,Larin,603700.0,603700.0
CD Numancia,Salary,Wages,37550.0,-37550.0
CD Numancia,Purchase,Valjent,3300009.0,-3300009.0
CD Numancia,Purchase,Courtois,6850009.0,-6850009.0
CD Numancia,Purchase,Beñat Prados,1400009.0,-1400009.0
CD Numancia,Purchase,Germán Valera,460099.0,-460099.0
CD Numancia,Purchase,Oblak,5100009.0,-5100009.0
CD Numancia,Purchase,Toni Martínez,470009.0,-470009.0
CD Numancia,Sale,David López,145100.0,145100.0
CD Numancia,Sale,Lunin,446200.0,446200.0
CD Numancia,Sale,Mariezkurrena,157100.0,157100.0
CD Numancia,Sale,Jordán,853000.0,853000.0
CD Numancia,Sale,Ter Stegen,1195700.0,1195700.0
CD Numancia,Salary,Wages,23660.0,-23660.0
CD Numancia,Purchase,Etta Eyong,410009.0,-410009.0
CD Numancia,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
Patsi F.C,Salary,Wages,36670.0,-36670.0
Patsi F.C,Salary,Wages,34320.0,-34320.0
Patsi F.C,Sale,Nianzou,154600.0,154600.0
Patsi F.C,Salary,Wages,33960.0,-33960.0
Patsi F.C,Purchase,Firpo,4020000.0,-4020000.0
Patsi F.C,Purchase,Moleiro,6750000.0,-6750000.0
Patsi F.C,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
Manchester Tity,Salary,Wages,35990.0,-35990.0
Manchester Tity,Purchase,Vivian,7189888.0,-7189888.0
Manchester Tity,Salary,Wages,27210.0,-27210.0
Manchester Tity,Purchase,De Frutos,3689000.0,-3689000.0
Manchester Tity,Salary,Wages,23590.0,-23590.0
Manchester Tity,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
FerranGoaT,Salary,Wages,35330.0,-35330.0
FerranGoaT,Sale,Dani Rodríguez,3397700.0,3397700.0
FerranGoaT,Sale,Ferran Torres,3972300.0,3972300.0
FerranGoaT,Sale,Boiro,171600.0,171600.0
FerranGoaT,Sale,Alex Sola,232100.0,232100.0
FerranGoaT,Sale,Carlos Dominguez,240200.0,240200.0
FerranGoaT,Salary,Wages,40620.0,-40620.0
FerranGoaT,Purchase,Iñaki Williams,8420000.0,-8420000.0
FerranGoaT,Purchase,Luiz Júnior,4250000.0,-4250000.0
FerranGoaT,Purchase,Tchouameni,6800000.0,-6800000.0
FerranGoaT,Purchase,Olasagasti,2350000.0,-2350000.0
FerranGoaT,Sale,Raúl Fernández,220300.0,220300.0
FerranGoaT,Sale,Álvaro Fernández,208400.0,208400.0
FerranGoaT,Sale,Bauzà,148700.0,148700.0
FerranGoaT,Salary,Wages,23450.0,-23450.0
FerranGoaT,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
Locombia FC,Salary,Wages,33110.0,-33110.0
Locombia FC,Salary,Wages,30750.0,-30750.0
Locombia FC,Salary,Wages,30330.0,-30330.0
Locombia FC,Purchase,Luis Milla,5003650.0,-5003650.0
Locombia FC,Purchase,El Hilali,3094450.0,-3094450.0
Locombia FC,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
"General ""Hansi” Topete",Salary,Wages,27310.0,-27310.0
"General ""Hansi” Topete",Salary,Wages,24800.0,-24800.0
"General ""Hansi” Topete",Purchase,Forés,317140.0,-317140.0
"General ""Hansi” Topete",Salary,Wages,24170.0,-24170.0
"General ""Hansi” Topete",Purchase,Pol Lozano,1026290.0,-1026290.0
"General ""Hansi” Topete",Admin adjustment,Credit/Penalty,60000000.0,60000000.0
Minabo de Kiev,Salary,Wages,20850.0,-20850.0
Minabo de Kiev,Admin adjustment,Credit/Penalty,2310000.0,2310000.0
Minabo de Kiev,Salary,Wages,23200.0,-23200.0
Minabo de Kiev,Salary,Wages,23280.0,-23280.0
Minabo de Kiev,Admin adjustment,Credit/Penalty,60000000.0,60000000.0
