Team,Player,Probability
Alaves,Antonio Sivera,95%
Alaves,Facundo Garces,95%
Alaves,Moussa Diarra 1,50%
Alaves,Nahuel Tenaglia,95%
Alaves,Jonny Castro,80%
Alaves,Pablo Ibanez,60%
Alaves,Antonio Blanco,90%
Alaves,Jon Guridi,80%
Alaves,Carlos Vicente,95%
Alaves,Carles Alena,70%
Alaves,Mariano Diaz,50%
Alaves,Victor Parada,40%
Alaves,Ander Guevara,40%
Alaves,Antonio Martinez,40%
Alaves,Calebe Goncalves,35%
Alaves,Carlos Benavidez,30%
Alaves,Youssef Enriquez,20%
Alaves,Abde Rebbach,10%
Alaves,Nikola Maras,5%
Alaves,Hugo Novoa,5%
Alaves,Raul Fernandez,5%
Alaves,Adrian Rodriguez,0%
Athletic,Unai Simon,95%
Athletic,Dani Vivian,95%
Athletic,Inigo Lekue,50%
Athletic,Jesus Areso,70%
Athletic,Yuri Berchiche,90%
Athletic,Inigo Ruiz De Galarreta,80%
Athletic,Mikel Jauregizar,80%
Athletic,Alex Berenguer,70%
Athletic,Inaki Williams,95%
Athletic,Nico Williams,90%
Athletic,Maroan Sannadi,50%
Athletic,Gorka Guruzeta,40%
Athletic,Unai Gomez,40%
Athletic,Mikel Vesga,40%
Athletic,Adama Boiro,35%
Athletic,Andoni Gorosabel,30%
Athletic,Robert Navarro,25%
Athletic,Aitor Paredes,20%
Athletic,Alex Padilla,5%
Athletic,Urko Izeta,0%
Athletic,Nico Serrano,0%
Athletic,Malcom Adu Ares,0%
Athletic,Unai Vencedor,0%
Athletic,Oihan Sancet,0%
Athletic,Benat Prados,0%
Athletic,Unai Egiluz,0%
Athletic,Yeray Alvarez,0%
Atletico,Jan Oblak,95%
Atletico,Robin Le Normand,80%
Atletico,David Hancko,60%
Atletico,Marcos Llorente,90%
Atletico,Matteo Ruggeri,70%
Atletico,Johnny Cardoso,80%
Atletico,Pablo Barrios,60%
Atletico,Lex Baena,90%
Atletico,Giuliano Simeone,70%
Atletico,Thiago Almada,50%
Atletico,Julian Lvarez,90%
Atletico,Alexander Sorloth,50%
Atletico,Clement Lenglet,40%
Atletico,Conor Gallagher,40%
Atletico,Antoine Griezmann,30%
Atletico,Koke Resurreccion,30%
Atletico,Javi Galan,30%
Atletico,Marc Pubill,20%
Atletico,Carlos Martin,10%
Atletico,Nahuel Molina,10%
Atletico,Juan Musso,5%
Atletico,Jose Maria Gimenez,0%
Barcelona,Joan Garcia,90%
Barcelona,Ronald Araujo,60%
Barcelona,Pau Cubarsi,80%
Barcelona,Jules Kounde,90%
Barcelona,Alejandro Balde,70%
Barcelona,Pedri Gonzalez,95%
Barcelona,Frenkie De Jong,60%
Barcelona,Dani Olmo,60%
Barcelona,Lamine Yamal,95%
Barcelona,Raphinha,90%
Barcelona,Ferran Torres,70%
Barcelona,Robert Lewandowski,40%
Barcelona,Pablo Gavi,40%
Barcelona,Fermin Lopez,40%
Barcelona,Marcus Rashford,30%
Barcelona,Gerard Martin,30%
Barcelona,Andreas Christensen,30%
Barcelona,Eric Garcia,20%
Barcelona,Marc Casado,15%
Barcelona,Wojciech Szczesny,10%
Barcelona,Roony Bardghji,5%
Barcelona,Oriol Romeu,0%
Barcelona,Marc Bernal,0%
Barcelona,Hector Fort,0%
Barcelona,Inaki Pena,0%
Barcelona,Marc Andre Ter Stegen,0%
Betis,Alvaro Valles,60%
Betis,Marc Bartra,90%
Betis,Natan,90%
Betis,Hector Bellerin,50%
Betis,Junior Firpo,50%
Betis,Pablo Fornals,80%
Betis,Sergi Altimira,70%
Betis,Giovani Lo Celso,70%
Betis,Pablo Garcia 1,70%
Betis,Rodrigo Riquelme,70%
Betis,Cucho Hernandez,90%
Betis,Ricardo Rodriguez,50%
Betis,Pau Lopez,40%
Betis,Nelson Deossa,35%
Betis,Isco Alarcon,30%
Betis,Ngel Ortiz,30%
Betis,Aitor Ruibal,30%
Betis,Abde Ezzalzouli,20%
Betis,Ezequiel Avila,20%
Betis,Valentin Gomez,10%
Betis,Cedric Bakambu,10%
Betis,Diego Javier Llorente,10%
Betis,Borja Iglesias,0%
Betis,Iker Losada,0%
Betis,Marc Roca,0%
Betis,Francisco Vieites,0%
Betis,Adrian San Miguel,0%
Celta,Andrei Radu,70%
Celta,Carl Starfelt,70%
Celta,Javi Rodriguez,60%
Celta,Marcos Alonso,90%
Celta,Sergio Carreira,60%
Celta,Scar Mingueza,80%
Celta,Fran Beltran,60%
Celta,Ilaix Moriba,70%
Celta,Iago Aspas,70%
Celta,Pablo Duran,50%
Celta,Ferran Jutgla,70%
Celta,Hugo Lvarez,50%
Celta,Yoel Lago,40%
Celta,Bryan Zaragoza,40%
Celta,Hugo Sotelo,40%
Celta,Williot Swedberg,30%
Celta,Damian Rodriguez,30%
Celta,Javi Rueda,30%
Celta,Ivan Villar,30%
Celta,Mihailo Risti,20%
Celta,Jones El Abdellaoui,20%
Celta,Carlos Dominguez,20%
Celta,Franco Cervi,0%
Celta,Manu Fernandez 1,0%
Celta,Joseph Aidoo,0%
Celta,Marc Vidal,0%
Elche,Matias Dituro,90%
Elche,Pedro Bigas,70%
Elche,David Affengruber,95%
Elche,Leo Petrot,70%
Elche,Lvaro Nunez,80%
Elche,German Valera,70%
Elche,Marc Aguado,70%
Elche,Rodrigo Mendoza,80%
Elche,Aleix Febas,90%
Elche,Mourad Daoudi,70%
Elche,Alvaro Rodriguez,50%
Elche,Josan,50%
Elche,Jairo Izquierdo,40%
Elche,John Nwankwo,30%
Elche,Rafa Nunez,30%
Elche,Adam Boayar,30%
Elche,Martim Neto,30%
Elche,Victor Chust,20%
Elche,Bambo Diaby,15%
Elche,Alejandro Iturbe,10%
Elche,Matia Barzic,10%
Elche,Yago Santiago,0%
Espanyol,Marko Dmitrovic,70%
Espanyol,Miguel Ngel Rubio,50%
Espanyol,Leandro Cabrera,95%
Espanyol,Omar El Hilali,90%
Espanyol,Carlos Romero,90%
Espanyol,Edu Exposito,80%
Espanyol,Pol Lozano,80%
Espanyol,Ruben Sanchez 1,50%
Espanyol,Antoniu Roca,50%
Espanyol,Roberto Fernandez 1,70%
Espanyol,Javi Puado,95%
Espanyol,Jofre Carreras,50%
Espanyol,Fernando Calero,50%
Espanyol,Terrats,50%
Espanyol,Kike Garcia,40%
Espanyol,Ngel Fortuno,30%
Espanyol,Pere Milla,20%
Espanyol,Pablo Ramon,15%
Espanyol,Tyrhys Dolan,15%
Espanyol,Jose Salinas,10%
Espanyol,Marcos Fernandez 1,0%
Espanyol,Rafel Bauza,0%
Espanyol,Javier Hernandez,0%
Getafe,David Soria,90%
Getafe,Dakonam Djene,80%
Getafe,Diego Rico,80%
Getafe,Kiko Femenia,60%
Getafe,Davinchi,50%
Getafe,Yvan Neyou,50%
Getafe,Mario Martin,50%
Getafe,Luis Milla,90%
Getafe,Mauro Arambarri,80%
Getafe,Borja Mayoral,50%
Getafe,Chrisantus Uche,80%
Getafe,Coba Gomes,50%
Getafe,Javi Munoz,50%
Getafe,Juan Iglesias,50%
Getafe,Adrian Liso,40%
Getafe,Abdel Abqar,40%
Getafe,Juanmi Jimenez,30%
Getafe,Omar Alderete,30%
Getafe,Alex Ujia Sola,10%
Getafe,Jiri Letacek,10%
Getafe,Lex Sancris,0%
Getafe,Domingos Duarte,0%
Girona,Paulo Gazzaniga,95%
Girona,658 David Lopez,50%
Girona,Ladislav Krejci,95%
Girona,Arnau Martinez,60%
Girona,Daley Blind,90%
Girona,Yangel Herrera,95%
Girona,Ivan Martin,50%
Girona,Yaser Asprilla,80%
Girona,Viktor Tsygankov,90%
Girona,Joel Roca,70%
Girona,Christian Stuani,80%
Girona,Jhon Solis,45%
Girona,Hugo Rincon,40%
Girona,Vitor Reis,35%
Girona,Bojan Miovski,30%
Girona,Thomas Lemar,30%
Girona,Cristian Portu,30%
Girona,Antal Yaakobishvili,30%
Girona,Vladyslav Krapyvtsov,5%
Girona,Miguel Gutierrez,0%
Girona,Alejandro Frances,0%
Girona,Juan Carlos Martin,0%
Girona,Ricard Artero,0%
Girona,Abel Ruiz,0%
Girona,Donny Van De Beek,0%
Levante,Pablo Campos,90%
Levante,Adrian De La Fuente,90%
Levante,Unai Elgezabal,90%
Levante,Jorge Cabello,70%
Levante,Jeremy Toljan,50%
Levante,Manu Sanchez,50%
Levante,Pablo Martinez,90%
Levante,Oriol Rey,80%
Levante,Ivan Romero,50%
Levante,Roger Brugue,70%
Levante,Goduine Koyalipou,50%
Levante,Jose Luis Morales,50%
Levante,Sergio Lozano,50%
Levante,Diego Pampin,50%
Levante,Victor Garcia 1,50%
Levante,Carlos Espi,30%
Levante,Matias Moreno,30%
Levante,Alan Matturro,20%
Levante,Victor Fernandez,10%
Levante,Carlos Lvarez,10%
Levante,Alejandro Primo,10%
Levante,Scar Clemente,0%
Levante,Jon Ander Olasagasti,0%
Levante,Kervin Arriaga,0%
Levante,Alfonso Pastor,0%
Mallorca,Leo Roman,70%
Mallorca,Antonio Raillo,90%
Mallorca,Martin Valjent,90%
Mallorca,Mateu Morey,70%
Mallorca,Johan Mojica,80%
Mallorca,Samu Almeida,70%
Mallorca,Manuel Morlanes,50%
Mallorca,Sergi Darder,80%
Mallorca,Takuma Asano,70%
Mallorca,Pablo Torre,70%
Mallorca,Vedat Muriqi,90%
Mallorca,Dani Rodriguez,50%
Mallorca,Antonio Sanchez,40%
Mallorca,Abdon Prats,30%
Mallorca,Cyle Larin,30%
Mallorca,Omar Mascarell,30%
Mallorca,Antonio Lato,20%
Mallorca,Mateo Joseph,20%
Mallorca,David Lopez 1,20%
Mallorca,Pablo Maffeo,20%
Mallorca,Dominik Greif,20%
Mallorca,Lucas Bergstrom,10%
Mallorca,Marc Domenech,10%
Mallorca,Daniel Luna,0%
Mallorca,Javi Llabres,0%
Mallorca,Ivan Cuellar,0%
Osasuna,Sergio Herrera,90%
Osasuna,Boyomo,90%
Osasuna,Alejandro Catena,90%
Osasuna,Juan Cruz 1,60%
Osasuna,Valentin Rosier,90%
Osasuna,Abel Bretones,50%
Osasuna,Lucas Torro,80%
Osasuna,Jon Moncayola,70%
Osasuna,Ruben Garcia,60%
Osasuna,Aimar Oroz,80%
Osasuna,Ante Budimir,90%
Osasuna,Moi Gomez,50%
Osasuna,Iker Munoz,50%
Osasuna,Kike Barja,50%
Osasuna,Victor Munoz,40%
Osasuna,Raul Garcia 1,30%
Osasuna,Jorge Herrando,20%
Osasuna,Iker Benito,10%
Osasuna,Aitor Fernandez,10%
Osasuna,Ander Yoldi,0%
Rayo-Vallecano,Augusto Batalla,90%
Rayo-Vallecano,Florian Lejeune,90%
Rayo-Vallecano,Luiz Felipe,80%
Rayo-Vallecano,Ivan Balliu,70%
Rayo-Vallecano,Pep Chavarria,60%
Rayo-Vallecano,Pathe Ciss,70%
Rayo-Vallecano,Gerard Gumbau,50%
Rayo-Vallecano,Isi Palazon,90%
Rayo-Vallecano,Andrei Florin,60%
Rayo-Vallecano,Jorge De Frutos,70%
Rayo-Vallecano,Alvaro Garcia,80%
Rayo-Vallecano,Scar Valentin,40%
Rayo-Vallecano,Pedro Diaz,40%
Rayo-Vallecano,Alfonso Espino,40%
Rayo-Vallecano,Unai Lopez,40%
Rayo-Vallecano,Oscar Trejo,30%
Rayo-Vallecano,Randy Nteka,30%
Rayo-Vallecano,Pelayo Fernandez,30%
Rayo-Vallecano,Sergio Camello,20%
Rayo-Vallecano,Etienne Etoo,10%
Rayo-Vallecano,Dani Cardenas,10%
Rayo-Vallecano,Abdul Mumin,0%
Real-Madrid,Thibaut Courtois,95%
Real-Madrid,Aurelien Tchouameni,70%
Real-Madrid,Der Milito,50%
Real-Madrid,Dean Huijsen,80%
Real-Madrid,Trent Alexander Arnold,90%
Real-Madrid,Fran Garcia,50%
Real-Madrid,Federico Valverde,95%
Real-Madrid,Arda Gler,80%
Real-Madrid,Vinicius Junior,90%
Real-Madrid,Kylian Mbappe,95%
Real-Madrid,Gonzalo Garcia,70%
Real-Madrid,Lvaro Fernandez 1,50%
Real-Madrid,Eduardo Camavinga,40%
Real-Madrid,Raul Asencio 1,40%
Real-Madrid,Daniel Carvajal,30%
Real-Madrid,Brahim Diaz,20%
Real-Madrid,Rodrygo Goes,20%
Real-Madrid,Dani Ceballos,20%
Real-Madrid,Franco Mastantuono,10%
Real-Madrid,David Alaba,10%
Real-Madrid,Andriy Lunin,5%
Real-Madrid,Reinier Jesus,0%
Real-Madrid,Ferland Mendy,0%
Real-Madrid,Jude Bellingham,0%
Real-Madrid,Endrick,0%
Real-Madrid,Antonio Rudiger,0%
Real-Oviedo,Aaron Escandell,80%
Real-Oviedo,Oier Luengo,90%
Real-Oviedo,Dani Calvo,95%
Real-Oviedo,Nacho Vidal,90%
Real-Oviedo,Rahim Alhassane,90%
Real-Oviedo,Kwasi Sibo,90%
Real-Oviedo,Luka Ilic,70%
Real-Oviedo,Alberto Reina,70%
Real-Oviedo,Haissem Hassan,60%
Real-Oviedo,Ilyas Chaira,80%
Real-Oviedo,Salomon Rondon,50%
Real-Oviedo,Federico Vinas,50%
Real-Oviedo,Santiago Colombatto,40%
Real-Oviedo,Santi Cazorla,40%
Real-Oviedo,Horatiu Moldovan,30%
Real-Oviedo,Brandon Domingues,30%
Real-Oviedo,Borja Sanchez,20%
Real-Oviedo,Alex Fores,10%
Real-Oviedo,Lucas Ahijado,10%
Real-Oviedo,Yayo Gonzalez,5%
Real-Oviedo,Lex Cardero,0%
Real-Oviedo,Miguel Narvaez,0%
Real-Oviedo,Jaime Seoane,0%
Real-Oviedo,David Costas,0%
