position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Forward,Real Madrid,Mbappé,0,316,23340000,80000,Fit,0,0.0,0,0.0,0,0.0
Forward,Barcelona,Yamal,0,294,22680000,80000,Fit,0,0.0,0,0.0,0,0.0
Forward,Barcelona,Raphinha,0,323,18120000,60000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Barcelona,Pedri,0,290,17070000,70000,Fit,0,0.0,0,0.0,0,0.0
Forward,Atlético,Julián Alvarez,0,235,15360000,110000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Real Madrid,Valverde,0,261,15190000,80000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Betis,Isco,0,184,15030000,70000,Fit,0,0.0,0,0.0,0,0.0
Forward,Barcelona,Lewandowski,0,266,14860000,110000,Fit,0,0.0,0,0.0,0,0.0
Forward,Real Madrid,Vinícius Jr,0,201,14760000,90000,Fit,0,0.0,0,0.0,0,0.0
Forward,Real Madrid,Baena,0,246,12420000,120000,Fit,0,0.0,0,0.0,0,0.0
Forward,Villarreal,Ayoze,0,241,12300000,90000,Fit,0,0.0,0,0.0,0,0.0
Forward,Athletic,Nico Williams,0,146,11000000,110000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Athletic,Sancet,0,216,10530000,70000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Real Madrid,Bellingham,0,225,10410000,200000,Injured. Shoulder injury. Estimated return: Early October.,0,0.0,0,0.0,0,0.0
Forward,Osasuna,Budimir,0,268,10390000,80000,Fit,0,0.0,0,0.0,0,0.0
Forward,Barcelona,Rashford,0,0,10020000,0,Fit,0,0.0,0,0.0,0,0.0
Defender,Real Madrid,Dean Huijsen,0,0,9860000,70000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Forward,Real Madrid,Arda Güler,0,137,9770000,120000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Forward,Atlético,Dani Olmo,0,169,9720000,10000,Fit,0,0.0,0,0.0,0,0.0
Forward,Atlético,Sørloth,0,213,7990000,40000,Fit,0,0.0,0,0.0,0,0.0
Defender,Real Madrid,Trent,0,0,7990000,20000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Forward,Real Sociedad,Kubo,0,209,7920000,50000,Fit,0,0.0,0,0.0,0,0.0
Forward,Athletic,Iñaki Williams,0,200,7720000,70000,Fit,0,0.0,0,0.0,0,0.0
Goalkeeper,Barcelona,Joan García,0,233,7680000,10000,Fit,0,0.0,0,0.0,0,0.0
Defender,Barcelona,Koundé,0,195,7290000,110000,Fit,0,0.0,0,0.0,0,0.0
Defender,Barcelona,Cubarsi,0,174,6960000,40000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Barcelona,De Jong,0,127,6950000,40000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Forward,Barcelona,Dani Olmo,0,163,6900000,50000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Atlético,Thiago Almada,0,0,6720000,50000,Fit,0,0.0,0,0.0,0,0.0
Forward,Real Sociedad,Oyarzabal,0,153,6620000,50000,Fit,0,0.0,0,0.0,0,0.0
Goalkeeper,Real Madrid,Courtois,0,152,6600000,50000,Fit,0,0.0,0,0.0,0,0.0
Defender,Barcelona,Iñigo Martínez,0,166,6580000,30000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Forward,Villarreal,Moleiro,0,174,6550000,80000,Fit,0,0.0,0,0.0,0,0.0
Forward,Celta,Iago Aspas,0,198,6360000,50000,Fit,0,0.0,0,0.0,0,0.0
Forward,Atlético,Griezmann,0,194,6320000,40000,Fit,0,0.0,0,0.0,0,0.0
Forward,Betis,Cucho,0,103,6310000,50000,Fit,0,0.0,0,0.0,0,0.0
Midfielder,Betis,Lo Celso,0,213,6020000,50000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Defender,Atlético,Marcos Llorente,0,176,5830000,10000,Fit,0,0.0,0,0.0,0,0.0
Defender,Athletic,Vivian,0,201,5810000,40000,Fit,0,0.0,0,0.0,0,0.0
Forward/Midfielder,Valencia,Raba,0,175,5670000,60000,Fit,0,0.0,0,0.0,0,0.0
Midfielder/Defender,Real Madrid,Tchouameni,0,130,5590000,60000,Fit,0,0.0,0,0.0,0,0.0
Defender,Barcelona,Balde,0,144,5480000,60000,Fit,0,0.0,0,0.0,0,0.0
