team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
CD Numancia,Porter,Real Madrid,Courtois,0,152,7.340.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Porter,Atlético,Oblak,0,161,5.550.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Porter,Valencia,Agirrezabala,0,58,4.580.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Mallorca,Raíllo,0,196,5.130.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Celta,Marcos Alonso,0,162,4.260.000,40.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Celta,Starfelt,0,131,2.660.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Sevilla,Carmona,0,130,2.200.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Levante,De la Fuente,0,0,1.840.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Alavés,Facundo Garcés,0,37,1.780.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Real Oviedo,Alhassane,0,0,1.490.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Defensa,Levante,Cabello,0,0,160.000,0,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista/Davanter,Atlético,Baena,0,246,13.590.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista,Celta,Ilaix Moriba,0,144,3.740.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista,Athletic,De Galarreta,0,120,3.470.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista/Davanter,Real Sociedad,Pablo Marín,0,80,1.930.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista/Davanter,Espanyol,Jofre Carreras,0,131,1.450.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Migcampista,Mallorca,Morlanes,0,94,1.280.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Celta,Jutglà,0,0,5.660.000,20.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Villarreal,Etta Eyong,0,16,3.420.000,120.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Betis,Borja Iglesias,0,186,3.060.000,30.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter,Alavés,Toni Martínez,0,111,1.610.000,10.000,En forma,0,"0,0",0,"0,0",0,"0,0"
CD Numancia,Davanter/Migcampista,Elche,Germán Valera,0,18,1.050.000,60.000,En forma,0,"0,0",0,"0,0",0,"0,0"
