team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
FerranGoaT,Goalkeeper,Villarreal,Luiz Júnior,0,85,3410000,30000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Defender,Villarreal,Foyth,0,105,4210000,30000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Defender,Valencia,Tárrega,0,154,3120000,20000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Defender/Midfielder,Girona,Arnau Martínez,0,144,2600000,30000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Defender,Rayo Vallecano,Mumin,0,118,710000,10000,Doubt. Knee injury.,0,0.0,0,0.0,0,0.0
FerranGoaT,Midfielder,Athletic,Sancet,0,216,10960000,50000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Midfielder/Defender,Real Madrid,Tchouameni,0,130,5800000,30000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Midfielder,Espanyol,Expósito,0,86,3230000,30000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Midfielder,Mallorca,Samú Costa,0,128,2890000,40000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Midfielder,Levante,Olasagasti,0,73,1960000,100000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Midfielder,Real Sociedad,Turrientes,0,62,530000,20000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward,Osasuna,Budimir,0,268,10760000,50000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward,Athletic,Iñaki Williams,0,200,8020000,40000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward/Midfielder,Valencia,Rioja,0,174,4060000,40000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward,Real Oviedo,Hassan,0,0,2340000,120000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward,Rayo Vallecano,Camello,0,93,1190000,20000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward/Midfielder,Mallorca,Asano,0,83,960000,30000,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward/Midfielder,Villarreal,Akhomach,0,50,480000,0,Doubt. Recovery from rupture of the anterior cruciate ligament.,0,0.0,0,0.0,0,0.0
FerranGoaT,Forward/Midfielder,Sevilla,Peque,0,82,310000,0,Fit,0,0.0,0,0.0,0,0.0
FerranGoaT,Coach,Villarreal,Marcelino,0,70,2240000,40000,Fit,0,0.0,0,0.0,0,0.0
