team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
"General ""Hansi” Topete",Goalkeeper,Real Oviedo,Escandell,0,0,3350000,10000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Real Madrid,Militão,0,62,4890000,30000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender/Midfielder,Espanyol,Carlos Romero,0,149,3130000,40000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Betis,Natan,0,107,2980000,60000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Real Madrid,Fran García,0,140,2010000,20000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Levante,Manu Sánchez,0,112,1610000,10000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Real Oviedo,Luengo,0,0,1180000,30000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Betis,Angel Ortiz,0,26,190000,0,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Defender,Real Sociedad,Jon Pacheco,0,37,170000,0,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder,Atlético,Johnny,0,151,6080000,40000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder/Forward,Real Sociedad,Sergio Gómez,0,186,4900000,10000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder,Athletic,Jauregizar,0,162,4650000,40000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder/Forward,Celta,Swedberg,0,123,1900000,60000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder,Levante,Oriol Rey,0,0,1740000,20000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder,Espanyol,Pol Lozano,0,106,1470000,20000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder,Rayo Vallecano,Óscar Valentín,0,118,1100000,10000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Midfielder/Defender,Sevilla,Juanlu,0,133,720000,10000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Forward/Midfielder,Villarreal,Yéremy Pino,0,164,4370000,90000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Forward,Levante,Morales,0,0,2800000,10000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Forward,Real Madrid,Rodrygo,0,176,2630000,70000,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Forward,Real Oviedo,Forés,0,0,270000,0,Fit,0,0.0,0,0.0,0,0.0
"General ""Hansi” Topete",Forward,Sevilla,Rafa Mir,0,62,190000,0,Fit,0,0.0,0,0.0,0,0.0
