team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Hernan Krezzpo,Goalkeeper,Espanyol,Dmitrovic,0,164,3990000,30000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Goalkeeper,Elche,Dituro,0,0,3300000,10000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Barcelona,Koundé,0,195,8480000,40000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Rayo Vallecano,Ratiu,0,190,4780000,10000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Sevilla,Gabriel Suazo,0,0,3170000,80000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Sevilla,Kike Salas,0,146,2970000,30000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Girona,Krejci,0,135,2730000,20000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Osasuna,Rosier,0,135,2660000,20000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Real Sociedad,Jon Martín,0,54,2170000,30000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender/Midfielder,Celta,Carreira,0,95,1870000,40000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Elche,Bigas,0,0,1410000,20000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Mallorca,Mateu Morey,0,38,630000,40000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Defender,Barcelona,Héctor Fort,0,53,270000,0,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Midfielder,Barcelona,De Jong,0,127,7750000,30000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Midfielder,Mallorca,Pablo Torre,0,61,5080000,80000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Midfielder,Atlético,Barrios,0,134,4480000,30000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Midfielder/Defender,Real Madrid,Camavinga,0,98,3940000,0,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Midfielder,Girona,Lemar,0,14,3390000,140000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Midfielder,Levante,Pablo Martínez,0,0,2610000,50000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Forward,Villarreal,Gerard Moreno,0,88,4870000,40000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Forward,Valencia,Hugo Duro,0,154,4530000,50000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Forward,Real Sociedad,Óskarsson,0,62,3640000,30000,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Forward,Rayo Vallecano,Etienne Eto'o,0,3,430000,0,Fit,0,0.0,0,0.0,0,0.0
Hernan Krezzpo,Coach,Girona,Michel,0,41,1020000,10000,Fit,0,0.0,0,0.0,0,0.0
