team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Locombia FC,Goalkeeper,Celta,Ionut Radu,0,0,3370000,10000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Goalkeeper,Celta,Iván Villar,0,12,180000,0,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Espanyol,El Hilali,0,151,3040000,70000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Osasuna,Catena,0,155,3030000,20000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Levante,Elgezabal,0,0,2110000,30000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Elche,Álvaro Núñez,0,0,1600000,20000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Barcelona,Gerard Martín,0,101,900000,0,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Sevilla,Pedrosa,0,121,750000,10000,Doubt. Right thigh adductor overload.,0,0.0,0,0.0,0,0.0
Locombia FC,Defender,Athletic,Boiro,0,53,170000,0,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Midfielder,Getafe,Luis Milla,0,177,5320000,40000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Midfielder,Barcelona,Oriol Romeu,0,77,990000,30000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward,Real Madrid,Mbappé,0,316,24040000,60000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward/Midfielder,Alavés,Carlos Vicente,0,200,4850000,40000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward,Real Madrid,Gonzalo García,0,7,4750000,60000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward/Midfielder,Girona,Tsygankov,0,131,3980000,30000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward,Sevilla,Akor Adams,0,8,2650000,190000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward,Real Oviedo,Chaira,0,0,2560000,140000,Fit,0,0.0,0,0.0,0,0.0
Locombia FC,Forward/Midfielder,Espanyol,Antoniu Roca,0,84,180000,0,Fit,0,0.0,0,0.0,0,0.0
