team,position,club,name,this_season_pts,last_season_pts,price,change,status,played,points_per_match,home_pts,home_average,away_pts,away_average
Minabo de Kiev,Goalkeeper,Valencia,Dimitrievski,0,13,520000,10000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Goalkeeper,Mallorca,Bergström,0,0,150000,0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Defender,Real Madrid,Dean Huijsen,0,0,10340000,100000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Defender,Alavés,Tenaglia,0,188,3460000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Defender,Real Sociedad,Aramburu,0,141,2790000,40000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Defender/Midfielder,Barcelona,Eric García,0,160,2370000,30000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Defender,Espanyol,Calero,0,69,500000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Defender,Real Oviedo,David Costas,0,0,360000,0,Suspended. Direct red.,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Barcelona,Gavi,0,110,3970000,90000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Barcelona,Fermín,0,149,3120000,10000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Osasuna,Moncayola,0,127,2320000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Alavés,Antonio Blanco,0,123,2000000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Real Oviedo,Sibo,0,0,1760000,30000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder/Defender,Getafe,Javi Muñoz,0,136,1720000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Midfielder,Mallorca,Antonio Sánchez,0,101,240000,0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Forward,Celta,Iago Aspas,0,198,6900000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Forward,Espanyol,Kike García,0,198,3830000,20000,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Forward,Levante,Brugué,0,0,2200000,0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Forward,Mallorca,Abdón Prats,0,61,150000,0,Fit,0,0.0,0,0.0,0,0.0
Minabo de Kiev,Forward/Midfielder,Valencia,Sergi Canós,0,43,150000,0,Doubt. Hernia operation.,0,0.0,0,0.0,0,0.0
